strategy,ticket_date,leg_a,leg_b,combo_odds,is_hit,leg_a_league,leg_a_odds,leg_a_type,leg_b_league,leg_b_odds,leg_b_type,pnl
frequency_selector,2025-08-17,202508170016,202508170018,11.5575,False,瑞超,3.45,draw,西甲,3.35,draw,-100.0
frequency_selector,2025-08-23,202508236015,202508240007,13.608,False,英超,3.6,draw,荷甲,3.78,handicap_draw,-100.0
frequency_selector,2025-08-30,202508306009,202508310028,13.575,False,瑞超,3.62,handicap_draw,德甲,3.75,handicap_draw,-100.0
frequency_selector,2025-08-31,202508310001,202508310020,11.9,True,日职,3.4,draw,西甲,3.5,draw,1090.0
frequency_selector,2025-09-06,202509066002,202509070002,11.68,False,英甲,3.2,draw,日联赛杯,3.65,handicap_draw,-100.0
frequency_selector,2025-09-13,202509136003,202509140013,12.6025,False,日职,3.55,draw,意甲,3.55,handicap_draw,-100.0
frequency_selector,2025-09-20,202509206009,202509210007,13.32,False,英超,3.6,handicap_draw,瑞超,3.7,handicap_draw,-100.0
frequency_selector,2025-09-21,202509210002,202509210015,13.125,False,韩职,3.5,draw,德甲,3.75,handicap_draw,-100.0
frequency_selector,2025-09-23,202509232002,202509232004,10.725,True,日职,3.3,draw,日职,3.25,draw,972.5
frequency_selector,2025-09-27,202509276015,202509280001,12.213,False,法乙,3.45,draw,日乙,3.54,draw,-100.0
frequency_selector,2025-09-28,202509280003,202509280006,11.799,False,日乙,3.42,draw,日职,3.45,draw,-100.0
frequency_selector,2025-10-05,202510050010,202510050019,11.658,False,德乙,3.35,draw,法甲,3.48,draw,-100.0
frequency_selector,2025-10-11,202510116004,202510116007,13.43,False,英甲,3.4,draw,英甲,3.95,draw,-100.0
frequency_selector,2025-10-17,202510186001,202510186025,12.978,False,日职,4.12,draw,英冠,3.15,draw,-100.0
frequency_selector,2025-10-18,202510190002,202510190003,11.8524,True,日乙,3.32,draw,日职,3.57,draw,1085.24
frequency_selector,2025-10-19,202510190007,202510190012,10.89,False,德乙,3.3,draw,挪超,3.3,draw,-100.0
frequency_selector,2025-10-25,202510256012,202510260016,13.3176,False,英冠,3.58,handicap_draw,英超,3.72,handicap_draw,-100.0
frequency_selector,2025-10-26,202510260001,202510260025,11.5575,False,日乙,3.35,draw,瑞超,3.45,draw,-100.0
frequency_selector,2025-10-31,202511016011,202511016027,12.425,False,英冠,3.5,draw,英超,3.55,draw,-100.0
frequency_selector,2025-11-01,202511016003,202511020008,12.5856,False,韩职,3.42,draw,意甲,3.68,handicap_draw,-100.0
frequency_selector,2025-11-02,202511020002,202511020021,12.025,False,日乙,3.7,draw,意甲,3.25,draw,-100.0
frequency_selector,2025-11-07,202511086015,202511086028,11.73,False,英冠,3.4,draw,沙职,3.45,draw,-100.0
frequency_selector,2025-11-08,202511090002,202511090014,12.5925,False,日职,3.65,draw,西甲,3.45,draw,-100.0
frequency_selector,2025-11-09,202511090006,202511090008,10.902,True,韩职,3.16,draw,日职,3.45,draw,990.2
frequency_selector,2025-11-15,202511156004,202511156006,12.395,False,英甲,3.35,draw,英甲,3.7,draw,-100.0
frequency_selector,2025-11-22,202511226011,202511230027,12.567,False,英超,3.55,handicap_draw,荷甲,3.54,handicap_draw,-100.0
frequency_selector,2025-11-23,202511230001,202511230022,12.709,False,日乙,3.58,draw,意甲,3.55,draw,-100.0
frequency_selector,2025-11-25,202511252002,202511263001,13.4,False,亚冠精英,4.0,draw,亚冠精英,3.35,draw,-100.0
frequency_selector,2025-11-28,202511296003,202511296011,12.42,False,日乙,3.45,draw,德乙,3.6,draw,-100.0
frequency_selector,2025-11-29,202511300005,202511300030,13.3225,False,日职,3.65,draw,荷甲,3.65,draw,-100.0
frequency_selector,2025-11-30,202511300006,202511300007,12.6,False,韩职,3.5,draw,韩职,3.6,draw,-100.0
frequency_selector,2025-12-05,202512066006,202512066017,10.5525,False,日职,3.35,draw,意甲,3.15,draw,-100.0
frequency_selector,2025-12-06,202512070010,202512070013,11.2125,False,西甲,3.25,draw,意甲,3.45,draw,-100.0
frequency_selector,2025-12-07,202512070001,202512081008,10.72,False,日乙,3.2,draw,韩职,3.35,draw,-100.0
frequency_selector,2025-12-12,202512136006,202512136011,11.52,True,德乙,3.6,draw,法乙,3.2,draw,1052.0
frequency_selector,2025-12-13,202512140005,202512140019,10.725,False,德乙,3.3,draw,荷甲,3.25,draw,-100.0
frequency_selector,2025-12-19,202512195002,202512206024,10.395,False,澳超,3.3,draw,西甲,3.15,draw,-100.0
frequency_selector,2025-12-20,202512210003,202512210018,12.915,False,德乙,3.15,draw,荷甲,4.1,draw,-100.0
frequency_selector,2025-12-26,202512276006,202512276011,10.23,False,意甲,3.1,draw,英超,3.3,draw,-100.0
frequency_selector,2025-12-27,202512276001,202512280003,11.151,False,澳超,3.54,draw,非洲杯,3.15,draw,-100.0
frequency_selector,2026-01-01,202601014008,202601014018,11.2944,True,英冠,3.62,draw,英甲,3.12,draw,1029.44
frequency_selector,2026-01-03,202601040006,202601040015,12.42,False,西甲,3.6,draw,英冠,3.45,draw,-100.0
frequency_selector,2026-01-04,202601040003,202601040011,11.05,False,英冠,3.25,draw,英超,3.4,draw,-100.0
frequency_selector,2026-01-09,202601095004,202601106020,11.39,False,沙职,3.4,draw,英足总杯,3.35,draw,-100.0
frequency_selector,2026-01-10,202601106010,202601106017,10.075,True,意甲,3.25,draw,沙职,3.1,draw,907.5
frequency_selector,2026-01-11,202601110013,202601110015,11.403,False,意甲,3.15,draw,德甲,3.62,draw,-100.0
frequency_selector,2026-01-16,202601176016,202601176024,13.5,False,德甲,3.6,draw,荷甲,3.75,handicap_draw,-100.0
frequency_selector,2026-01-17,202601180009,202601180010,11.78,False,英超,3.8,draw,意甲,3.1,draw,-100.0
frequency_selector,2026-01-23,202601235002,202601246018,11.8625,True,亚洲杯23,3.65,draw,英超,3.25,draw,1086.25
frequency_selector,2026-01-24,202601246006,202601250006,10.54,False,英超,3.1,draw,德乙,3.4,draw,-100.0
frequency_selector,2026-01-31,202601316020,202602010009,10.335,False,英冠,3.18,draw,英超,3.25,draw,-100.0
frequency_selector,2026-02-07,202602076005,202602076014,11.055,False,德乙,3.35,draw,德甲,3.3,draw,-100.0
frequency_selector,2026-02-08,202602080006,202602091001,12.1605,False,德乙,3.35,draw,亚冠精英,3.63,draw,-100.0
frequency_selector,2026-02-28,202602286009,202602286015,12.53,False,英超,3.5,draw,德甲,3.58,handicap_draw,-100.0
frequency_selector,2026-03-14,202603146010,202603146018,11.8925,False,英冠,3.35,draw,西甲,3.55,draw,-100.0
frequency_selector,2026-03-15,202603150003,202603150014,12.3635,False,韩职,3.13,draw,英超,3.95,draw,-100.0
frequency_selector,2026-03-21,202603216010,202603220012,13.68,False,德甲,3.8,handicap_draw,意甲,3.6,handicap_draw,-100.0
frequency_selector,2026-03-22,202603220008,202603220013,11.84,False,德乙,3.2,draw,英超,3.7,draw,-100.0
frequency_selector,2026-03-28,202603286001,202603286005,11.856,False,日职,3.8,draw,英甲,3.12,draw,-100.0
frequency_selector,2026-04-01,202604013001,202604024002,11.385,False,日职,3.3,draw,澳超,3.45,draw,-100.0
frequency_selector,2026-04-02,202604035003,202604035006,11.196,False,英冠,3.6,draw,英冠,3.11,draw,-100.0
frequency_selector,2026-04-03,202604046003,202604046004,10.647,False,日职,3.15,draw,韩职,3.38,draw,-100.0
