match_id,match_date,league,home_team,away_team,rule_name,channel,bet_type,odds,hit,pnl,hcap,rank_gap,had_d,hhad_d,home_recent_win_by_1_rate,away_recent_loss_by_1_rate,away_recent_ga_per_match,h2h_draw_rate,h2h_one_goal_margin_rate,recent_low_scoring_sum
202503263005,2025-03-26,日联赛杯,水户蜀葵,熊本深红,DRAW_V32_CORE,draw,draw,3.1,False,-100.0,0.0,5,3.1,4.4,0.16666666666666666,0.16666666666666666,1.6666666666666667,0.375,0.3333333333333333,1.0
202503285001,2025-03-28,日职,大阪樱花,浦和红钻,DRAW_V32_CORE,draw,draw,3.25,True,225.0,-0.25,5,3.25,3.75,0.0,0.16666666666666666,1.0,0.2222222222222222,0.5,1.1666666666666667
202503296020,2025-03-29,英冠,伯恩利,布城,DRAW_V32_CORE,draw,draw,3.4,False,-100.0,0.75,,3.4,3.08,0.16666666666666666,0.0,0.8333333333333334,0.1875,0.6666666666666666,1.0
202503296013,2025-03-29,意甲,威尼斯,博洛尼亚,DRAW_V32_CORE,draw,draw,3.47,False,-100.0,-0.75,11,3.47,3.2,0.0,0.0,1.1666666666666667,0.0,0.6666666666666666,1.0
202503296012,2025-03-29,意甲,科莫,恩波利,DRAW_V32_CORE,draw,draw,3.55,True,254.99999999999997,0.75,0,3.55,3.2,0.16666666666666666,0.3333333333333333,2.0,0.0,1.0,1.0
202503296011,2025-03-29,法乙,格勒诺布,洛里昂,DRAW_V32_CORE,draw,draw,3.8,False,-100.0,-0.75,,3.8,3.2,0.0,0.3333333333333333,1.0,0.15384615384615385,0.6666666666666666,1.0
202503296006,2025-03-29,日职,东京FC,川崎前锋,DRAW_V32_CORE,draw,draw,3.3,False,-100.0,-0.5,,3.3,3.4,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16279069767441862,0.6666666666666666,1.5
202503296003,2025-03-29,韩职,首尔FC,大邱FC,DRAW_V32_CORE,draw,draw,3.28,False,-100.0,0.5,,3.28,3.28,0.3333333333333333,0.3333333333333333,1.0,0.37254901960784315,0.3333333333333333,1.0
202503300024,2025-03-30,法甲,欧塞尔,蒙彼利埃,DRAW_V32_CORE,draw,draw,3.65,False,-100.0,0.5,7,3.65,3.5,0.0,0.16666666666666666,2.5,0.16666666666666666,0.6666666666666666,1.1666666666666665
202503300008,2025-03-30,意甲,卡利亚里,蒙扎,DRAW_V32_CORE,draw,draw,3.4,False,-100.0,0.75,5,3.4,3.15,0.16666666666666666,0.16666666666666666,2.5,0.3333333333333333,0.6666666666666666,1.1666666666666665
202503300007,2025-03-30,荷甲,乌德勒支,海伦芬,DRAW_V32_CORE,draw,draw,3.55,False,-100.0,0.5,10,3.55,3.5,0.3333333333333333,0.16666666666666666,1.6666666666666667,0.19607843137254902,0.6666666666666666,1.0
202503300006,2025-03-30,韩职,金泉尚武,江原FC,DRAW_V32_CORE,draw,draw,3.25,False,-100.0,0.5,2,3.25,3.2,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.10810810810810811,1.0,1.0
202503300002,2025-03-30,日乙,熊本深红,鸟栖沙岩,DRAW_V32_CORE,draw,draw,3.2,False,-100.0,0.0,5,3.2,4.05,0.16666666666666666,0.16666666666666666,1.0,0.4,0.5,1.3333333333333335
202504056017,2025-04-05,英冠,布城,沃特福德,DRAW_V32_CORE,draw,draw,3.25,False,-100.0,0.5,,3.25,3.35,0.3333333333333333,0.3333333333333333,0.5,0.4166666666666667,0.16666666666666666,1.5
202504056012,2025-04-05,德甲,海登海姆,勒沃库森,HDRAW_V32_CORE,hdraw,handicap_draw,3.66,True,266.0,-1.0,13,4.3,3.66,0.16666666666666666,0.16666666666666666,2.1666666666666665,0.0,0.5,0.6666666666666666
202504056009,2025-04-05,西甲,赫罗纳,阿拉维斯,DRAW_V32_CORE,draw,draw,3.13,False,-100.0,0.5,3,3.13,3.4,0.16666666666666666,0.16666666666666666,1.5,0.3333333333333333,0.5,1.1666666666666665
202504056001,2025-04-05,日乙,大宫松鼠,大分三神,DRAW_V32_CORE,draw,draw,3.1,True,210.0,0.5,,3.1,3.3,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.20833333333333334,0.5,1.3333333333333335
202504060023,2025-04-06,德甲,柏林联合,沃夫斯堡,DRAW_V32_CORE,draw,draw,3.15,False,-100.0,0.25,,3.15,3.75,0.3333333333333333,0.5,1.0,0.26666666666666666,0.6666666666666666,1.1666666666666667
202504060022,2025-04-06,英超,曼联,曼城,DRAW_V32_CORE,draw,draw,3.45,True,245.00000000000003,-0.25,,3.45,3.75,0.0,0.16666666666666666,0.8333333333333334,0.14285714285714285,0.5,1.1666666666666665
202504060021,2025-04-06,法甲,兰斯,斯特拉斯,DRAW_V32_CORE,draw,draw,3.3,False,-100.0,-0.25,,3.3,3.55,0.16666666666666666,0.0,0.5,0.38095238095238093,0.16666666666666666,1.1666666666666665
202504060011,2025-04-06,英超,富勒姆,利物浦,DRAW_V32_CORE,draw,draw,3.4,False,-100.0,-0.5,7,3.4,3.45,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.21621621621621623,0.5,1.0
202504060003,2025-04-06,日职,广岛三箭,大阪樱花,DRAW_V32_CORE,draw,draw,3.8,False,-100.0,0.75,1,3.8,3.3,0.3333333333333333,0.0,1.3333333333333333,0.17073170731707318,0.5,1.3333333333333335
